,GO,count,defence,GO_Record,fdr,geno
140,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity",1,False,GO:0046537,1.0,lym
141,2-(2'-methylthio)ethylmalate synthase activity,1,False,GO:0010177,1.0,lym
142,2-acylglycerol O-acyltransferase activity,1,False,GO:0003846,1.0,lym
129,2-hydroxyglutarate dehydrogenase activity,1,False,GO:0047545,1.0,col
143,2-isopropylmalate synthase activity,1,False,GO:0003852,1.0,lym
6,2-oxoglutarate-dependent dioxygenase activity,1,False,GO:0016706,1.0,cer
144,2-oxoglutarate-dependent dioxygenase activity,7,False,GO:0016706,1.0,lym
130,2-oxoglutarate-dependent dioxygenase activity,5,False,GO:0016706,1.0,col
145,24-methylenesterol C-methyltransferase activity,1,False,GO:0030797,1.0,lym
131,24-methylenesterol C-methyltransferase activity,1,False,GO:0030797,1.0,col
132,"3'(2'),5'-bisphosphate nucleotidase activity",1,False,GO:0008441,1.0,col
146,3'-5' RNA helicase activity,6,False,GO:0034458,1.0,lym
133,3'-5' RNA helicase activity,2,False,GO:0034458,1.0,col
134,3'-5' exonuclease activity,2,False,GO:0008408,1.0,col
147,3'-5' exonuclease activity,3,False,GO:0008408,1.0,lym
135,3'-5'-exoribonuclease activity,2,False,GO:0000175,1.0,col
148,3'-5'-exoribonuclease activity,6,False,GO:0000175,1.0,lym
149,3'-tRNA processing endoribonuclease activity,1,False,GO:0042781,1.0,lym
136,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",1,False,GO:0008686,1.0,col
150,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",1,False,GO:0008686,1.0,lym
151,3-beta-hydroxy-delta5-steroid dehydrogenase activity,1,False,GO:0003854,1.0,lym
152,3-chloroallyl aldehyde dehydrogenase activity,2,False,GO:0004028,1.0,lym
153,3-dehydrosphinganine reductase activity,1,False,GO:0047560,1.0,lym
154,3-deoxy-7-phosphoheptulonate synthase activity,2,False,GO:0003849,1.0,lym
155,3-deoxy-8-phosphooctulonate synthase activity,1,False,GO:0008676,1.0,lym
137,3-isopropylmalate dehydratase activity,1,False,GO:0003861,1.0,col
156,3-isopropylmalate dehydratase activity,1,False,GO:0003861,1.0,lym
157,3-isopropylmalate dehydrogenase activity,1,False,GO:0003862,1.0,lym
158,3-keto-sphinganine metabolic process,1,False,GO:0006666,1.0,lym
138,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,1,False,GO:0003863,1.0,col
159,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,1,False,GO:0003863,1.0,lym
160,3-methylthiopropyl-desulfoglucosinolate sulfotransferase activity,1,False,GO:0080066,1.0,lym
139,3-oxo-5-alpha-steroid 4-dehydrogenase activity,2,False,GO:0003865,1.0,col
140,3-oxo-arachidoyl-CoA synthase activity,5,False,GO:0102336,1.0,col
161,3-oxo-arachidoyl-CoA synthase activity,6,False,GO:0102336,1.0,lym
141,3-oxo-cerotoyl-CoA synthase activity,5,False,GO:0102337,1.0,col
162,3-oxo-cerotoyl-CoA synthase activity,6,False,GO:0102337,1.0,lym
142,3-oxo-lignoceronyl-CoA synthase activity,5,False,GO:0102338,1.0,col
163,3-oxo-lignoceronyl-CoA synthase activity,6,False,GO:0102338,1.0,lym
143,3-oxoacyl-[acyl-carrier-protein] synthase activity,1,False,GO:0004315,1.0,col
144,"4 iron, 4 sulfur cluster binding",5,False,GO:0051539,1.0,col
164,"4 iron, 4 sulfur cluster binding",12,False,GO:0051539,1.0,lym
145,4-alpha-methyl-delta7-sterol oxidation,1,False,GO:0080065,1.0,col
165,4-aminobutyrate transaminase activity,1,False,GO:0003867,1.0,lym
146,4-aminobutyrate transaminase activity,1,False,GO:0003867,1.0,col
147,4-aminobutyrate:pyruvate transaminase activity,1,False,GO:0034387,1.0,col
166,4-aminobutyrate:pyruvate transaminase activity,1,False,GO:0034387,1.0,lym
148,4-coumarate-CoA ligase activity,2,False,GO:0016207,1.0,col
167,4-coumarate-CoA ligase activity,3,False,GO:0016207,1.0,lym
149,4-hydroxy-4-methyl-2-oxoglutarate aldolase activity,1,False,GO:0047443,1.0,col
168,4-hydroxy-4-methyl-2-oxoglutarate aldolase activity,1,False,GO:0047443,1.0,lym
169,4-hydroxy-tetrahydrodipicolinate reductase,1,False,GO:0008839,1.0,lym
170,4-methylthiobutyl-desulfoglucosinolate sulfotransferase activity,1,False,GO:0080067,1.0,lym
171,4-methylthiopropyl glucosinolate S-oxygenase activity,1,False,GO:0080103,1.0,lym
150,5'-3' exodeoxyribonuclease activity,2,False,GO:0035312,1.0,col
172,5'-3' exodeoxyribonuclease activity,2,False,GO:0035312,1.0,lym
151,5'-tyrosyl-DNA phosphodiesterase activity,1,False,GO:0070260,1.0,col
173,5-formyltetrahydrofolate transmembrane transporter activity,1,False,GO:0015231,1.0,lym
174,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,2,False,GO:0003871,1.0,lym
175,5-methylthiopentyl-desulfoglucosinolate sulfotransferase activity,1,False,GO:0080068,1.0,lym
176,5-phosphoribose 1-diphosphate biosynthetic process,3,False,GO:0006015,0.19812333031158888,lym
152,5S rDNA binding,1,False,GO:0080084,1.0,col
177,5S rDNA binding,1,False,GO:0080084,1.0,lym
153,5S rRNA binding,2,False,GO:0008097,1.0,col
178,5S rRNA binding,3,False,GO:0008097,1.0,lym
154,6-phosphofructokinase activity,1,False,GO:0003872,1.0,col
179,6-phosphofructokinase activity,1,False,GO:0003872,1.0,lym
155,6-phosphofructokinase complex,1,False,GO:0005945,1.0,col
180,6-phosphofructokinase complex,1,False,GO:0005945,1.0,lym
156,6-phosphogluconolactonase activity,1,False,GO:0017057,1.0,col
181,6-phosphogluconolactonase activity,1,False,GO:0017057,1.0,lym
157,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process",1,False,GO:0035998,0.9114468653855319,col
182,7-dehydrocholesterol reductase activity,1,False,GO:0047598,1.0,lym
183,7-methylthioheptyl-desulfoglucosinolate sulfotransferase activity,1,False,GO:0080069,1.0,lym
184,7S RNA binding,1,False,GO:0008312,1.0,lym
185,8-methylthiooctyl-desulfoglucosinolate sulfotransferase activity,1,False,GO:0080070,1.0,lym
186,8-methylthiopropyl glucosinolate S-oxygenase activity,1,False,GO:0080107,1.0,lym
187,"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity",1,False,GO:0034039,1.0,lym
188,90S preribosome,2,False,GO:0030686,1.0,lym
158,90S preribosome,1,False,GO:0030686,1.0,col
159,ADP binding,59,False,GO:0043531,1.0639177678962567e-19,col
189,ADP binding,60,False,GO:0043531,2.850997003936665e-13,lym
190,ADP dimethylallyltransferase activity,1,False,GO:0052623,1.0,lym
160,ADP dimethylallyltransferase activity,2,False,GO:0052623,1.0,col
161,ADP transmembrane transporter activity,1,False,GO:0015217,1.0,col
191,ADP transmembrane transporter activity,1,False,GO:0015217,1.0,lym
162,ADP transport,1,False,GO:0015866,1.0,col
192,ADP transport,1,False,GO:0015866,1.0,lym
163,ADP-glucose pyrophosphohydrolase activity,1,False,GO:0080042,1.0,col
193,ADP-glucose pyrophosphohydrolase activity,1,False,GO:0080042,1.0,lym
194,ADP-ribose diphosphatase activity,3,False,GO:0047631,1.0,lym
164,ADP-ribose diphosphatase activity,2,False,GO:0047631,1.0,col
195,ADP-ribose pyrophosphohydrolase activity,1,False,GO:0080041,1.0,lym
165,ADP-ribose pyrophosphohydrolase activity,1,False,GO:0080041,1.0,col
166,AMP binding,1,False,GO:0016208,1.0,col
196,AMP binding,2,False,GO:0016208,1.0,lym
167,AMP dimethylallyltransferase activity,3,False,GO:0009824,1.0,col
197,AMP dimethylallyltransferase activity,1,False,GO:0009824,1.0,lym
198,AMP salvage,2,False,GO:0044209,1.0,lym
168,AMP salvage,1,False,GO:0044209,1.0,col
199,AP-2 adaptor complex,1,False,GO:0030122,1.0,lym
200,AP-3 adaptor complex,1,False,GO:0030123,1.0,lym
201,ARF guanyl-nucleotide exchange factor activity,1,False,GO:0005086,1.0,lym
169,ARF guanyl-nucleotide exchange factor activity,1,False,GO:0005086,1.0,col
202,AT DNA binding,6,False,GO:0003680,1.0,lym
170,AT DNA binding,2,False,GO:0003680,1.0,col
171,ATP binding,440,False,GO:0005524,3.325670865526966e-32,col
203,ATP binding,583,False,GO:0005524,2.2751864066353094e-37,lym
204,ATP dimethylallyltransferase activity,1,False,GO:0052622,1.0,lym
172,ATP dimethylallyltransferase activity,2,False,GO:0052622,1.0,col
173,ATP generation from poly-ADP-D-ribose,1,False,GO:1990966,0.9114468653855319,col
205,ATP generation from poly-ADP-D-ribose,1,False,GO:1990966,0.9194054893928421,lym
206,ATP synthesis coupled proton transport,3,False,GO:0015986,1.0,lym
174,ATP synthesis coupled proton transport,1,False,GO:0015986,1.0,col
175,ATP transmembrane transporter activity,2,False,GO:0005347,1.0,col
207,ATP transmembrane transporter activity,3,False,GO:0005347,1.0,lym
208,ATP transport,1,False,GO:0015867,1.0,lym
176,ATP transport,1,False,GO:0015867,1.0,col
209,ATP-dependent chromatin remodeling,1,False,GO:0043044,1.0,lym
177,ATP-dependent chromatin remodeling,1,False,GO:0043044,1.0,col
210,ATP-dependent peptidase activity,2,False,GO:0004176,0.917805509069025,lym
211,ATP:ADP antiporter activity,2,False,GO:0005471,1.0,lym
178,ATPase activator activity,1,False,GO:0001671,1.0,col
212,ATPase activator activity,2,False,GO:0001671,1.0,lym
179,ATPase activity,21,False,GO:0016887,1.0,col
213,ATPase activity,37,False,GO:0016887,1.0,lym
180,"ATPase activity, coupled",2,False,GO:0042623,1.0,col
214,"ATPase activity, coupled",5,False,GO:0042623,1.0,lym
181,ATPase-coupled arsenite transmembrane transporter activity,1,False,GO:0015446,1.0,col
215,ATPase-coupled arsenite transmembrane transporter activity,2,False,GO:0015446,0.7459762145601327,lym
182,ATPase-coupled glutathione S-conjugate transmembrane transporter activity,1,False,GO:0015431,1.0,col
216,ATPase-coupled glutathione S-conjugate transmembrane transporter activity,1,False,GO:0015431,1.0,lym
217,ATPase-coupled protein transmembrane transporter activity,1,False,GO:0015462,1.0,lym
218,ATPase-coupled transmembrane transporter activity,27,False,GO:0042626,0.9966850159421601,lym
183,ATPase-coupled transmembrane transporter activity,17,False,GO:0042626,1.0,col
219,ATPase-coupled xenobiotic transmembrane transporter activity,1,False,GO:0008559,1.0,lym
220,AU-rich element binding,2,False,GO:0017091,1.0,lym
184,Atg1/ULK1 kinase complex,1,False,GO:1990316,1.0,col
185,BLOC-1 complex,1,False,GO:0031083,1.0,col
221,BRCA1-A complex,1,False,GO:0070531,1.0,lym
222,BRCA1-BARD1 complex,1,False,GO:0031436,1.0,lym
186,C-19 gibberellin 2-beta-dioxygenase activity,2,False,GO:0052634,1.0,col
223,C-19 gibberellin 2-beta-dioxygenase activity,2,False,GO:0052634,1.0,lym
187,C-4 methylsterol oxidase activity,1,False,GO:0000254,1.0,col
224,CAAX-box protein processing,1,False,GO:0071586,1.0,lym
188,CAAX-protein geranylgeranyltransferase activity,1,False,GO:0004662,1.0,col
189,CAAX-protein geranylgeranyltransferase complex,1,False,GO:0005953,1.0,col
225,CCAAT-binding factor complex,1,False,GO:0016602,1.0,lym
190,CCAAT-binding factor complex,1,False,GO:0016602,1.0,col
191,CCR4-NOT complex,1,False,GO:0030014,1.0,col
226,CCR4-NOT core complex,4,False,GO:0030015,1.0,lym
192,CCR4-NOT core complex,3,False,GO:0030015,1.0,col
193,CDP-diacylglycerol biosynthetic process,3,False,GO:0016024,1.0,col
227,CDP-diacylglycerol biosynthetic process,3,False,GO:0016024,1.0,lym
228,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,1,False,GO:0003881,1.0,lym
229,CDP-diacylglycerol-serine O-phosphatidyltransferase activity,1,False,GO:0003882,1.0,lym
230,COPI vesicle coat,1,False,GO:0030126,1.0,lym
194,COPII-coated ER to Golgi transport vesicle,1,False,GO:0030134,1.0,col
231,COPII-coated ER to Golgi transport vesicle,2,False,GO:0030134,1.0,lym
195,CP2 mannose-ethanolamine phosphotransferase activity,1,False,GO:0051267,1.0,col
196,CST complex,2,False,GO:1990879,0.4000589289436892,col
232,CST complex,1,False,GO:1990879,1.0,lym
233,CTP biosynthetic process,1,False,GO:0006241,1.0,lym
197,Cajal body,1,False,GO:0015030,1.0,col
234,Cajal body,5,False,GO:0015030,1.0,lym
198,Cdc73/Paf1 complex,2,False,GO:0016593,1.0,col
235,CoA hydrolase activity,1,False,GO:0016289,1.0,lym
199,CoA hydrolase activity,1,False,GO:0016289,1.0,col
200,Cul3-RING ubiquitin ligase complex,1,False,GO:0031463,1.0,col
236,Cul4-RING E3 ubiquitin ligase complex,20,False,GO:0080008,1.0,lym
201,Cul4-RING E3 ubiquitin ligase complex,8,False,GO:0080008,0.6202849662311345,col
202,Cul4A-RING E3 ubiquitin ligase complex,1,False,GO:0031464,1.0,col
237,Cul4A-RING E3 ubiquitin ligase complex,1,False,GO:0031464,1.0,lym
238,"D-arabinono-1,4-lactone oxidase activity",2,False,GO:0003885,1.0,lym
239,D-cysteine catabolic process,1,False,GO:0019447,0.9194054893928421,lym
240,D-cysteine desulfhydrase activity,1,False,GO:0019148,1.0,lym
241,D-erythro-sphingosine kinase activity,1,False,GO:0017050,1.0,lym
242,D-gluconate catabolic process,3,False,GO:0046177,0.4349434279753759,lym
243,D-ribose transmembrane transporter activity,1,False,GO:0015591,1.0,lym
203,D-ribose transmembrane transporter activity,1,False,GO:0015591,1.0,col
204,D-serine ammonia-lyase activity,1,False,GO:0008721,1.0,col
205,D-serine biosynthetic process,1,False,GO:0070179,1.0,col
206,D-serine metabolic process,1,False,GO:0070178,0.9114468653855319,col
244,D-xylose metabolic process,2,False,GO:0042732,1.0,lym
207,D-xylose metabolic process,1,False,GO:0042732,1.0,col
245,D-xylose transmembrane transporter activity,1,False,GO:0015148,1.0,lym
208,D-xylose transmembrane transporter activity,1,False,GO:0015148,1.0,col
246,DEAD/H-box RNA helicase binding,2,False,GO:0017151,0.7459762145601327,lym
247,DNA (6-4) photolyase activity,1,False,GO:0003914,1.0,lym
209,DNA binding,257,False,GO:0003677,1.0,col
248,DNA binding,331,False,GO:0003677,1.0,lym
210,"DNA binding, bending",1,False,GO:0008301,1.0,col
249,DNA biosynthetic process,1,False,GO:0071897,1.0,lym
250,DNA duplex unwinding,1,False,GO:0032508,1.0,lym
251,DNA endoreduplication,3,False,GO:0042023,1.0,lym
252,DNA helicase activity,1,False,GO:0003678,1.0,lym
211,DNA ligase IV complex,1,False,GO:0032807,1.0,col
212,DNA ligation involved in DNA repair,1,False,GO:0051103,1.0,col
213,DNA mediated transformation,3,False,GO:0009294,1.0,col
253,DNA mediated transformation,6,False,GO:0009294,1.0,lym
214,DNA metabolic process,1,False,GO:0006259,1.0,col
254,DNA metabolic process,3,False,GO:0006259,1.0,lym
255,DNA methylation,1,False,GO:0006306,0.6346356403981507,lym
215,DNA recombination,1,False,GO:0006310,0.9114468653855319,col
256,DNA recombination,1,False,GO:0006310,0.4349434279753759,lym
216,DNA repair,10,False,GO:0006281,0.1283967809546723,col
257,DNA repair,20,False,GO:0006281,0.44397503619145356,lym
217,DNA replication,2,False,GO:0006260,0.7092183814541623,col
258,DNA replication,8,False,GO:0006260,1.0,lym
259,DNA replication factor A complex,1,False,GO:0005662,1.0,lym
260,DNA replication factor C complex,1,False,GO:0005663,1.0,lym
261,DNA replication initiation,2,False,GO:0006270,1.0,lym
262,DNA replication origin binding,2,False,GO:0003688,1.0,lym
263,DNA replication-independent nucleosome organization,1,False,GO:0034724,1.0,lym
264,DNA strand elongation involved in DNA replication,1,False,GO:0006271,1.0,lym
265,DNA topoisomerase activity,1,False,GO:0003916,1.0,lym
266,DNA topoisomerase complex (ATP-hydrolyzing),1,False,GO:0009330,1.0,lym
267,DNA topoisomerase type II (ATP-hydrolyzing) activity,1,False,GO:0003918,1.0,lym
268,DNA topological change,1,False,GO:0006265,1.0,lym
269,DNA unwinding involved in DNA replication,2,False,GO:0006268,1.0,lym
270,DNA-(apurinic or apyrimidinic site) endonuclease activity,3,False,GO:0003906,1.0,lym
218,DNA-(apurinic or apyrimidinic site) endonuclease activity,2,False,GO:0003906,1.0,col
219,DNA-3-methyladenine glycosylase activity,2,False,GO:0008725,1.0,col
271,DNA-3-methyladenine glycosylase activity,3,False,GO:0008725,1.0,lym
272,DNA-3-methylguanine glycosylase activity,1,False,GO:0052822,1.0,lym
273,DNA-7-methyladenine glycosylase activity,1,False,GO:0052821,1.0,lym
274,DNA-7-methylguanine glycosylase activity,1,False,GO:0043916,1.0,lym
220,DNA-binding transcription activator activity,2,False,GO:0001216,1.0,col
275,DNA-binding transcription activator activity,3,False,GO:0001216,0.32415274837699426,lym
221,"DNA-binding transcription activator activity, RNA polymerase II-specific",2,False,GO:0001228,1.0,col
276,"DNA-binding transcription activator activity, RNA polymerase II-specific",8,False,GO:0001228,1.0,lym
277,DNA-binding transcription factor activity,362,False,GO:0003700,0.04528515993483412,lym
222,DNA-binding transcription factor activity,300,False,GO:0003700,1.1648850344233661e-06,col
223,"DNA-binding transcription factor activity, RNA polymerase II-specific",1,False,GO:0000981,0.5191422227113978,col
278,"DNA-binding transcription factor activity, RNA polymerase II-specific",2,False,GO:0000981,0.3079322918642893,lym
279,DNA-dependent ATPase activity,3,False,GO:0008094,1.0,lym
224,DNA-dependent ATPase activity,2,False,GO:0008094,1.0,col
280,DNA-dependent DNA replication,1,False,GO:0006261,0.9194054893928421,lym
225,DNA-dependent protein kinase-DNA ligase 4 complex,1,False,GO:0005958,1.0,col
226,DNA-directed 5'-3' RNA polymerase activity,1,False,GO:0003899,0.22560027123603732,col
281,DNA-directed 5'-3' RNA polymerase activity,5,False,GO:0003899,0.7459762145601327,lym
282,"DNA-templated transcription, elongation",2,False,GO:0006354,1.0,lym
283,"DNA-templated transcription, initiation",3,False,GO:0006352,1.0,lym
227,"DNA-templated transcription, initiation",2,False,GO:0006352,1.0,col
284,"DNA-templated transcription, termination",3,False,GO:0006353,1.0,lym
228,"DNA-templated transcription, termination",1,False,GO:0006353,1.0,col
229,DNA-templated transcriptional start site selection,1,False,GO:0001173,1.0,col
285,Derlin-1 retrotranslocation complex,2,False,GO:0036513,1.0,lym
230,Derlin-1 retrotranslocation complex,1,False,GO:0036513,1.0,col
286,ER body,2,False,GO:0010168,1.0,lym
287,ER body organization,1,False,GO:0080119,1.0,lym
231,ER membrane protein complex,1,False,GO:0072546,1.0,col
288,ER retention sequence binding,1,False,GO:0046923,1.0,lym
289,ER to Golgi transport vesicle membrane,1,False,GO:0012507,1.0,lym
290,ER-associated misfolded protein catabolic process,2,False,GO:0071712,1.0,lym
232,ER-associated misfolded protein catabolic process,1,False,GO:0071712,1.0,col
233,ESCRT I complex,3,False,GO:0000813,1.0,col
291,ESCRT I complex,3,False,GO:0000813,1.0,lym
234,ESCRT II complex,1,False,GO:0000814,1.0,col
292,ESCRT III complex,4,False,GO:0000815,1.0,lym
235,ESCRT III complex,4,False,GO:0000815,0.8459010980051229,col
293,FACT complex,1,False,GO:0035101,1.0,lym
294,FAD binding,21,False,GO:0071949,0.4789147870237802,lym
236,FAD binding,22,False,GO:0071949,0.004229845706128179,col
295,FAD biosynthetic process,1,False,GO:0006747,1.0,lym
237,FAD biosynthetic process,1,False,GO:0006747,1.0,col
296,FK506 binding,4,False,GO:0005528,1.0,lym
238,FK506 binding,2,False,GO:0005528,1.0,col
239,FMN adenylyltransferase activity,1,False,GO:0003919,1.0,col
297,FMN adenylyltransferase activity,1,False,GO:0003919,1.0,lym
240,FMN binding,4,False,GO:0010181,1.0,col
298,FMN binding,5,False,GO:0010181,1.0,lym
241,G protein-coupled receptor activity,2,False,GO:0004930,1.0,col
299,G protein-coupled receptor activity,3,False,GO:0004930,1.0,lym
242,G protein-coupled receptor binding,3,False,GO:0001664,0.3936251465174977,col
300,G protein-coupled receptor binding,3,False,GO:0001664,0.6900211435821741,lym
243,G protein-coupled receptor signaling pathway,5,False,GO:0007186,0.2602470722004226,col
301,G protein-coupled receptor signaling pathway,6,False,GO:0007186,0.23321231486459146,lym
244,G-protein beta/gamma-subunit complex binding,3,False,GO:0031683,0.3936251465174977,col
302,G-protein beta/gamma-subunit complex binding,3,False,GO:0031683,0.6900211435821741,lym
245,G-rich strand telomeric DNA binding,1,False,GO:0098505,1.0,col
303,G-rich strand telomeric DNA binding,1,False,GO:0098505,1.0,lym
246,G1/S transition of mitotic cell cycle,1,False,GO:0000082,1.0,col
304,G1/S transition of mitotic cell cycle,1,False,GO:0000082,1.0,lym
305,GDP-D-glucose phosphorylase activity,2,False,GO:0080048,0.7459762145601327,lym
247,GDP-D-glucose phosphorylase activity,2,False,GO:0080048,0.5734435652553074,col
248,GDP-L-galactose phosphorylase activity,2,False,GO:0080047,0.5734435652553074,col
306,GDP-L-galactose phosphorylase activity,2,False,GO:0080047,0.7459762145601327,lym
307,GDP-dissociation inhibitor activity,1,False,GO:0005092,1.0,lym
249,GDP-dissociation inhibitor activity,1,False,GO:0005092,1.0,col
250,GDP-fucose transmembrane transport,2,False,GO:0015783,0.7092183814541623,col
308,GDP-fucose transmembrane transport,2,False,GO:0015783,0.8948781031130397,lym
251,GDP-fucose transmembrane transporter activity,3,False,GO:0005457,0.5743055887463492,col
309,GDP-fucose transmembrane transporter activity,3,False,GO:0005457,0.8744078585946239,lym
252,GDP-galactose:glucose-1-phosphate guanylyltransferase activity,1,False,GO:0010472,1.0,col
310,GDP-galactose:glucose-1-phosphate guanylyltransferase activity,1,False,GO:0010472,1.0,lym
311,GDP-galactose:mannose-1-phosphate guanylyltransferase activity,1,False,GO:0010471,1.0,lym
253,GDP-galactose:mannose-1-phosphate guanylyltransferase activity,1,False,GO:0010471,1.0,col
312,GDP-galactose:myoinositol-1-phosphate guanylyltransferase activity,1,False,GO:0010473,1.0,lym
254,GDP-galactose:myoinositol-1-phosphate guanylyltransferase activity,1,False,GO:0010473,1.0,col
255,"GDP-mannose 4,6-dehydratase activity",1,False,GO:0008446,1.0,col
313,"GDP-mannose 4,6-dehydratase activity",1,False,GO:0008446,1.0,lym
314,GDP-mannose biosynthetic process,2,False,GO:0009298,1.0,lym
256,GDP-mannose biosynthetic process,1,False,GO:0009298,1.0,col
257,GDP-mannose metabolic process,1,False,GO:0019673,1.0,col
315,GDP-mannose metabolic process,1,False,GO:0019673,1.0,lym
258,GDP-mannose transmembrane transport,1,False,GO:1990570,1.0,col
316,GDP-mannose transmembrane transport,2,False,GO:1990570,0.5254015378766363,lym
259,GDP-mannose transmembrane transporter activity,1,False,GO:0005458,1.0,col
317,GDP-mannose transmembrane transporter activity,2,False,GO:0005458,0.7459762145601327,lym
318,GMP biosynthetic process,1,False,GO:0006177,1.0,lym
260,GPI anchor biosynthetic process,1,False,GO:0006506,1.0,col
319,GPI anchor biosynthetic process,1,False,GO:0006506,0.9194054893928421,lym
320,"GTP 3',8'-cyclase activity",1,False,GO:0061798,1.0,lym
261,"GTP 3',8'-cyclase activity",1,False,GO:0061798,1.0,col
321,GTP binding,52,False,GO:0005525,1.0,lym
262,GTP binding,32,False,GO:0005525,1.0,col
322,GTP biosynthetic process,2,False,GO:0006183,1.0,lym
263,GTP cyclohydrolase I activity,1,False,GO:0003934,1.0,col
